,train,test,marginals,# iter.
0,4.829999923706055,5.21999979019165,normal,100.0
1,4.309999942779541,4.960000038146973,normal,200.0
2,4.429999828338623,5.039999961853027,normal,300.0
3,4.039999961853027,4.909999847412109,normal,400.0
4,4.920000076293945,5.260000228881836,normal,500.0
5,3.7799999713897705,5.550000190734863,normal,600.0
6,4.239999771118164,4.739999771118164,normal,700.0
7,4.230000019073486,4.489999771118164,normal,800.0
8,3.869999885559082,4.489999771118164,normal,900.0
9,3.450000047683716,4.130000114440918,normal,1000.0
10,3.450000047683716,4.510000228881836,normal,1100.0
11,3.930000066757202,4.090000152587891,normal,1200.0
12,3.75,4.019999980926514,normal,1300.0
13,3.859999895095825,3.9100000858306885,normal,1400.0
14,3.609999895095825,3.9800000190734863,normal,1500.0
15,3.75,3.869999885559082,normal,1600.0
16,4.150000095367432,3.8499999046325684,normal,1700.0
17,3.6500000953674316,113.77999877929688,normal,1800.0
18,4.460000038146973,3.819999933242798,normal,1900.0
19,3.700000047683716,3.9000000953674316,normal,2000.0
20,4.269999980926514,3.7799999713897705,normal,2100.0
21,4.210000038146973,4.019999980926514,normal,2200.0
22,3.549999952316284,3.75,normal,2300.0
23,3.7100000381469727,3.740000009536743,normal,2400.0
24,3.5199999809265137,3.7200000286102295,normal,2500.0
0,,,normal,
0,5.25,5.369999885559082,normal,100.0
1,4.110000133514404,4.880000114440918,normal,200.0
2,4.519999980926514,4.78000020980835,normal,300.0
3,7.460000038146973,4.679999828338623,normal,400.0
4,4.730000019073486,4.590000152587891,normal,500.0
5,4.179999828338623,4.539999961853027,normal,600.0
6,4.699999809265137,4.400000095367432,normal,700.0
7,4.309999942779541,4.239999771118164,normal,800.0
8,3.7200000286102295,4.019999980926514,normal,900.0
9,3.859999895095825,3.869999885559082,normal,1000.0
10,3.8299999237060547,10.210000038146973,normal,1100.0
11,3.690000057220459,3.9600000381469727,normal,1200.0
12,3.5199999809265137,5.980000019073486,normal,1300.0
13,3.6500000953674316,6.659999847412109,normal,1400.0
14,4.360000133514404,4.190000057220459,normal,1500.0
15,3.700000047683716,3.7799999713897705,normal,1600.0
16,3.509999990463257,3.680000066757202,normal,1700.0
17,3.2699999809265137,3.609999895095825,normal,1800.0
18,3.2100000381469727,3.569999933242798,normal,1900.0
19,3.75,3.5399999618530273,normal,2000.0
20,3.5899999141693115,3.509999990463257,normal,2100.0
21,3.5799999237060547,3.509999990463257,normal,2200.0
22,3.5199999809265137,3.5,normal,2300.0
23,3.450000047683716,3.549999952316284,normal,2400.0
24,3.559999942779541,3.819999933242798,normal,2500.0
0,,,normal,
0,6.820000171661377,26.6200008392334,normal,100.0
1,6.019999980926514,12.15999984741211,normal,200.0
2,5.349999904632568,11.279999732971191,normal,300.0
3,5.139999866485596,10.210000038146973,normal,400.0
4,5.050000190734863,7.420000076293945,normal,500.0
5,4.920000076293945,6.050000190734863,normal,600.0
6,4.710000038146973,5.789999961853027,normal,700.0
7,4.590000152587891,5.590000152587891,normal,800.0
8,4.239999771118164,5.389999866485596,normal,900.0
9,4.489999771118164,5.179999828338623,normal,1000.0
10,4.380000114440918,4.949999809265137,normal,1100.0
11,6.659999847412109,4.869999885559082,normal,1200.0
12,4.340000152587891,4.760000228881836,normal,1300.0
13,4.260000228881836,4.690000057220459,normal,1400.0
14,4.329999923706055,4.670000076293945,normal,1500.0
15,4.170000076293945,4.599999904632568,normal,1600.0
16,3.859999895095825,4.559999942779541,normal,1700.0
17,4.150000095367432,4.579999923706055,normal,1800.0
18,4.059999942779541,4.53000020980835,normal,1900.0
19,4.150000095367432,4.519999980926514,normal,2000.0
20,4.119999885559082,4.510000228881836,normal,2100.0
21,4.03000020980835,4.460000038146973,normal,2200.0
22,3.950000047683716,4.429999828338623,normal,2300.0
23,3.569999933242798,4.400000095367432,normal,2400.0
24,4.059999942779541,4.369999885559082,normal,2500.0
0,7.360000133514404,9483.51953125,normal,100.0
1,5.360000133514404,5070.3701171875,normal,200.0
2,14066.4599609375,1994.199951171875,normal,300.0
3,4.519999980926514,871.3699951171875,normal,400.0
4,49.22999954223633,496.45001220703125,normal,500.0
5,5.0,134.35000610351562,normal,600.0
6,10.109999656677246,92.01000213623047,normal,700.0
7,4.840000152587891,71.1500015258789,normal,800.0
8,4.78000020980835,18.770000457763672,normal,900.0
9,4.46999979019165,16.489999771118164,normal,1000.0
10,4.71999979019165,14.739999771118164,normal,1100.0
11,555.2899780273438,9.1899995803833,normal,1200.0
12,4.190000057220459,8.880000114440918,normal,1300.0
13,5.010000228881836,8.960000038146973,normal,1400.0
